table_schema,table_name,column_name,data_type,is_nullable,column_default
auth,audit_log_entries,instance_id,uuid,YES,null
auth,audit_log_entries,id,uuid,NO,null
auth,audit_log_entries,payload,json,YES,null
auth,audit_log_entries,created_at,timestamp with time zone,YES,null
auth,audit_log_entries,ip_address,character varying,NO,''::character varying
auth,custom_oauth_providers,id,uuid,NO,gen_random_uuid()
auth,custom_oauth_providers,provider_type,text,NO,null
auth,custom_oauth_providers,identifier,text,NO,null
auth,custom_oauth_providers,name,text,NO,null
auth,custom_oauth_providers,client_id,text,NO,null
auth,custom_oauth_providers,client_secret,text,NO,null
auth,custom_oauth_providers,acceptable_client_ids,ARRAY,NO,'{}'::text[]
auth,custom_oauth_providers,scopes,ARRAY,NO,'{}'::text[]
auth,custom_oauth_providers,pkce_enabled,boolean,NO,true
auth,custom_oauth_providers,attribute_mapping,jsonb,NO,'{}'::jsonb
auth,custom_oauth_providers,authorization_params,jsonb,NO,'{}'::jsonb
auth,custom_oauth_providers,enabled,boolean,NO,true
auth,custom_oauth_providers,email_optional,boolean,NO,false
auth,custom_oauth_providers,issuer,text,YES,null
auth,custom_oauth_providers,discovery_url,text,YES,null
auth,custom_oauth_providers,skip_nonce_check,boolean,NO,false
auth,custom_oauth_providers,cached_discovery,jsonb,YES,null
auth,custom_oauth_providers,discovery_cached_at,timestamp with time zone,YES,null
auth,custom_oauth_providers,authorization_url,text,YES,null
auth,custom_oauth_providers,token_url,text,YES,null
auth,custom_oauth_providers,userinfo_url,text,YES,null
auth,custom_oauth_providers,jwks_uri,text,YES,null
auth,custom_oauth_providers,created_at,timestamp with time zone,NO,now()
auth,custom_oauth_providers,updated_at,timestamp with time zone,NO,now()
auth,flow_state,id,uuid,NO,null
auth,flow_state,user_id,uuid,YES,null
auth,flow_state,auth_code,text,YES,null
auth,flow_state,code_challenge_method,USER-DEFINED,YES,null
auth,flow_state,code_challenge,text,YES,null
auth,flow_state,provider_type,text,NO,null
auth,flow_state,provider_access_token,text,YES,null
auth,flow_state,provider_refresh_token,text,YES,null
auth,flow_state,created_at,timestamp with time zone,YES,null
auth,flow_state,updated_at,timestamp with time zone,YES,null
auth,flow_state,authentication_method,text,NO,null
auth,flow_state,auth_code_issued_at,timestamp with time zone,YES,null
auth,flow_state,invite_token,text,YES,null
auth,flow_state,referrer,text,YES,null
auth,flow_state,oauth_client_state_id,uuid,YES,null
auth,flow_state,linking_target_id,uuid,YES,null
auth,flow_state,email_optional,boolean,NO,false
auth,identities,provider_id,text,NO,null
auth,identities,user_id,uuid,NO,null
auth,identities,identity_data,jsonb,NO,null
auth,identities,provider,text,NO,null
auth,identities,last_sign_in_at,timestamp with time zone,YES,null
auth,identities,created_at,timestamp with time zone,YES,null
auth,identities,updated_at,timestamp with time zone,YES,null
auth,identities,email,text,YES,null
auth,identities,id,uuid,NO,gen_random_uuid()
auth,instances,id,uuid,NO,null
auth,instances,uuid,uuid,YES,null
auth,instances,raw_base_config,text,YES,null
auth,instances,created_at,timestamp with time zone,YES,null
auth,instances,updated_at,timestamp with time zone,YES,null
auth,mfa_amr_claims,session_id,uuid,NO,null
auth,mfa_amr_claims,created_at,timestamp with time zone,NO,null
auth,mfa_amr_claims,updated_at,timestamp with time zone,NO,null
auth,mfa_amr_claims,authentication_method,text,NO,null
auth,mfa_amr_claims,id,uuid,NO,null
auth,mfa_challenges,id,uuid,NO,null
auth,mfa_challenges,factor_id,uuid,NO,null
auth,mfa_challenges,created_at,timestamp with time zone,NO,null
auth,mfa_challenges,verified_at,timestamp with time zone,YES,null
auth,mfa_challenges,ip_address,inet,NO,null
auth,mfa_challenges,otp_code,text,YES,null
auth,mfa_challenges,web_authn_session_data,jsonb,YES,null
auth,mfa_factors,id,uuid,NO,null
auth,mfa_factors,user_id,uuid,NO,null
auth,mfa_factors,friendly_name,text,YES,null
auth,mfa_factors,factor_type,USER-DEFINED,NO,null
auth,mfa_factors,status,USER-DEFINED,NO,null
auth,mfa_factors,created_at,timestamp with time zone,NO,null
auth,mfa_factors,updated_at,timestamp with time zone,NO,null
auth,mfa_factors,secret,text,YES,null
auth,mfa_factors,phone,text,YES,null
auth,mfa_factors,last_challenged_at,timestamp with time zone,YES,null
auth,mfa_factors,web_authn_credential,jsonb,YES,null
auth,mfa_factors,web_authn_aaguid,uuid,YES,null
auth,mfa_factors,last_webauthn_challenge_data,jsonb,YES,null
auth,oauth_authorizations,id,uuid,NO,null
auth,oauth_authorizations,authorization_id,text,NO,null
auth,oauth_authorizations,client_id,uuid,NO,null
auth,oauth_authorizations,user_id,uuid,YES,null
auth,oauth_authorizations,redirect_uri,text,NO,null
auth,oauth_authorizations,scope,text,NO,null
auth,oauth_authorizations,state,text,YES,null
auth,oauth_authorizations,resource,text,YES,null
auth,oauth_authorizations,code_challenge,text,YES,null
auth,oauth_authorizations,code_challenge_method,USER-DEFINED,YES,null
auth,oauth_authorizations,response_type,USER-DEFINED,NO,'code'::auth.oauth_response_type
auth,oauth_authorizations,status,USER-DEFINED,NO,'pending'::auth.oauth_authorization_status
auth,oauth_authorizations,authorization_code,text,YES,null
auth,oauth_authorizations,created_at,timestamp with time zone,NO,now()
auth,oauth_authorizations,expires_at,timestamp with time zone,NO,(now() + '00:03:00'::interval)
auth,oauth_authorizations,approved_at,timestamp with time zone,YES,null
auth,oauth_authorizations,nonce,text,YES,null
auth,oauth_client_states,id,uuid,NO,null
auth,oauth_client_states,provider_type,text,NO,null
auth,oauth_client_states,code_verifier,text,YES,null
auth,oauth_client_states,created_at,timestamp with time zone,NO,null
auth,oauth_clients,id,uuid,NO,null
auth,oauth_clients,client_secret_hash,text,YES,null
auth,oauth_clients,registration_type,USER-DEFINED,NO,null
auth,oauth_clients,redirect_uris,text,NO,null
auth,oauth_clients,grant_types,text,NO,null
auth,oauth_clients,client_name,text,YES,null
auth,oauth_clients,client_uri,text,YES,null
auth,oauth_clients,logo_uri,text,YES,null
auth,oauth_clients,created_at,timestamp with time zone,NO,now()
auth,oauth_clients,updated_at,timestamp with time zone,NO,now()
auth,oauth_clients,deleted_at,timestamp with time zone,YES,null
auth,oauth_clients,client_type,USER-DEFINED,NO,'confidential'::auth.oauth_client_type
auth,oauth_clients,token_endpoint_auth_method,text,NO,null
auth,oauth_consents,id,uuid,NO,null
auth,oauth_consents,user_id,uuid,NO,null
auth,oauth_consents,client_id,uuid,NO,null
auth,oauth_consents,scopes,text,NO,null
auth,oauth_consents,granted_at,timestamp with time zone,NO,now()
auth,oauth_consents,revoked_at,timestamp with time zone,YES,null
auth,one_time_tokens,id,uuid,NO,null
auth,one_time_tokens,user_id,uuid,NO,null
auth,one_time_tokens,token_type,USER-DEFINED,NO,null
auth,one_time_tokens,token_hash,text,NO,null
auth,one_time_tokens,relates_to,text,NO,null
auth,one_time_tokens,created_at,timestamp without time zone,NO,now()
auth,one_time_tokens,updated_at,timestamp without time zone,NO,now()
auth,refresh_tokens,instance_id,uuid,YES,null
auth,refresh_tokens,id,bigint,NO,nextval('auth.refresh_tokens_id_seq'::regclass)
auth,refresh_tokens,token,character varying,YES,null
auth,refresh_tokens,user_id,character varying,YES,null
auth,refresh_tokens,revoked,boolean,YES,null
auth,refresh_tokens,created_at,timestamp with time zone,YES,null
auth,refresh_tokens,updated_at,timestamp with time zone,YES,null
auth,refresh_tokens,parent,character varying,YES,null
auth,refresh_tokens,session_id,uuid,YES,null
auth,saml_providers,id,uuid,NO,null
auth,saml_providers,sso_provider_id,uuid,NO,null
auth,saml_providers,entity_id,text,NO,null
auth,saml_providers,metadata_xml,text,NO,null
auth,saml_providers,metadata_url,text,YES,null
auth,saml_providers,attribute_mapping,jsonb,YES,null
auth,saml_providers,created_at,timestamp with time zone,YES,null
auth,saml_providers,updated_at,timestamp with time zone,YES,null
auth,saml_providers,name_id_format,text,YES,null
auth,saml_relay_states,id,uuid,NO,null
auth,saml_relay_states,sso_provider_id,uuid,NO,null
auth,saml_relay_states,request_id,text,NO,null
auth,saml_relay_states,for_email,text,YES,null
auth,saml_relay_states,redirect_to,text,YES,null
auth,saml_relay_states,created_at,timestamp with time zone,YES,null
auth,saml_relay_states,updated_at,timestamp with time zone,YES,null
auth,saml_relay_states,flow_state_id,uuid,YES,null
auth,schema_migrations,version,character varying,NO,null
auth,sessions,id,uuid,NO,null
auth,sessions,user_id,uuid,NO,null
auth,sessions,created_at,timestamp with time zone,YES,null
auth,sessions,updated_at,timestamp with time zone,YES,null
auth,sessions,factor_id,uuid,YES,null
auth,sessions,aal,USER-DEFINED,YES,null
auth,sessions,not_after,timestamp with time zone,YES,null
auth,sessions,refreshed_at,timestamp without time zone,YES,null
auth,sessions,user_agent,text,YES,null
auth,sessions,ip,inet,YES,null
auth,sessions,tag,text,YES,null
auth,sessions,oauth_client_id,uuid,YES,null
auth,sessions,refresh_token_hmac_key,text,YES,null
auth,sessions,refresh_token_counter,bigint,YES,null
auth,sessions,scopes,text,YES,null
auth,sso_domains,id,uuid,NO,null
auth,sso_domains,sso_provider_id,uuid,NO,null
auth,sso_domains,domain,text,NO,null
auth,sso_domains,created_at,timestamp with time zone,YES,null
auth,sso_domains,updated_at,timestamp with time zone,YES,null
auth,sso_providers,id,uuid,NO,null
auth,sso_providers,resource_id,text,YES,null
auth,sso_providers,created_at,timestamp with time zone,YES,null
auth,sso_providers,updated_at,timestamp with time zone,YES,null
auth,sso_providers,disabled,boolean,YES,null
auth,users,instance_id,uuid,YES,null
auth,users,id,uuid,NO,null
auth,users,aud,character varying,YES,null
auth,users,role,character varying,YES,null
auth,users,email,character varying,YES,null
auth,users,encrypted_password,character varying,YES,null
auth,users,email_confirmed_at,timestamp with time zone,YES,null
auth,users,invited_at,timestamp with time zone,YES,null
auth,users,confirmation_token,character varying,YES,null
auth,users,confirmation_sent_at,timestamp with time zone,YES,null
auth,users,recovery_token,character varying,YES,null
auth,users,recovery_sent_at,timestamp with time zone,YES,null
auth,users,email_change_token_new,character varying,YES,null
auth,users,email_change,character varying,YES,null
auth,users,email_change_sent_at,timestamp with time zone,YES,null
auth,users,last_sign_in_at,timestamp with time zone,YES,null
auth,users,raw_app_meta_data,jsonb,YES,null
auth,users,raw_user_meta_data,jsonb,YES,null
auth,users,is_super_admin,boolean,YES,null
auth,users,created_at,timestamp with time zone,YES,null
auth,users,updated_at,timestamp with time zone,YES,null
auth,users,phone,text,YES,NULL::character varying
auth,users,phone_confirmed_at,timestamp with time zone,YES,null
auth,users,phone_change,text,YES,''::character varying
auth,users,phone_change_token,character varying,YES,''::character varying
auth,users,phone_change_sent_at,timestamp with time zone,YES,null
auth,users,confirmed_at,timestamp with time zone,YES,null
auth,users,email_change_token_current,character varying,YES,''::character varying
auth,users,email_change_confirm_status,smallint,YES,0
auth,users,banned_until,timestamp with time zone,YES,null
auth,users,reauthentication_token,character varying,YES,''::character varying
auth,users,reauthentication_sent_at,timestamp with time zone,YES,null
auth,users,is_sso_user,boolean,NO,false
auth,users,deleted_at,timestamp with time zone,YES,null
auth,users,is_anonymous,boolean,NO,false
extensions,pg_stat_statements,userid,oid,YES,null
extensions,pg_stat_statements,dbid,oid,YES,null
extensions,pg_stat_statements,toplevel,boolean,YES,null
extensions,pg_stat_statements,queryid,bigint,YES,null
extensions,pg_stat_statements,query,text,YES,null
extensions,pg_stat_statements,plans,bigint,YES,null
extensions,pg_stat_statements,total_plan_time,double precision,YES,null
extensions,pg_stat_statements,min_plan_time,double precision,YES,null
extensions,pg_stat_statements,max_plan_time,double precision,YES,null
extensions,pg_stat_statements,mean_plan_time,double precision,YES,null
extensions,pg_stat_statements,stddev_plan_time,double precision,YES,null
extensions,pg_stat_statements,calls,bigint,YES,null
extensions,pg_stat_statements,total_exec_time,double precision,YES,null
extensions,pg_stat_statements,min_exec_time,double precision,YES,null
extensions,pg_stat_statements,max_exec_time,double precision,YES,null
extensions,pg_stat_statements,mean_exec_time,double precision,YES,null
extensions,pg_stat_statements,stddev_exec_time,double precision,YES,null
extensions,pg_stat_statements,rows,bigint,YES,null
extensions,pg_stat_statements,shared_blks_hit,bigint,YES,null
extensions,pg_stat_statements,shared_blks_read,bigint,YES,null
extensions,pg_stat_statements,shared_blks_dirtied,bigint,YES,null
extensions,pg_stat_statements,shared_blks_written,bigint,YES,null
extensions,pg_stat_statements,local_blks_hit,bigint,YES,null
extensions,pg_stat_statements,local_blks_read,bigint,YES,null
extensions,pg_stat_statements,local_blks_dirtied,bigint,YES,null
extensions,pg_stat_statements,local_blks_written,bigint,YES,null
extensions,pg_stat_statements,temp_blks_read,bigint,YES,null
extensions,pg_stat_statements,temp_blks_written,bigint,YES,null
extensions,pg_stat_statements,shared_blk_read_time,double precision,YES,null
extensions,pg_stat_statements,shared_blk_write_time,double precision,YES,null
extensions,pg_stat_statements,local_blk_read_time,double precision,YES,null
extensions,pg_stat_statements,local_blk_write_time,double precision,YES,null
extensions,pg_stat_statements,temp_blk_read_time,double precision,YES,null
extensions,pg_stat_statements,temp_blk_write_time,double precision,YES,null
extensions,pg_stat_statements,wal_records,bigint,YES,null
extensions,pg_stat_statements,wal_fpi,bigint,YES,null
extensions,pg_stat_statements,wal_bytes,numeric,YES,null
extensions,pg_stat_statements,jit_functions,bigint,YES,null
extensions,pg_stat_statements,jit_generation_time,double precision,YES,null
extensions,pg_stat_statements,jit_inlining_count,bigint,YES,null
extensions,pg_stat_statements,jit_inlining_time,double precision,YES,null
extensions,pg_stat_statements,jit_optimization_count,bigint,YES,null
extensions,pg_stat_statements,jit_optimization_time,double precision,YES,null
extensions,pg_stat_statements,jit_emission_count,bigint,YES,null
extensions,pg_stat_statements,jit_emission_time,double precision,YES,null
extensions,pg_stat_statements,jit_deform_count,bigint,YES,null
extensions,pg_stat_statements,jit_deform_time,double precision,YES,null
extensions,pg_stat_statements,stats_since,timestamp with time zone,YES,null
extensions,pg_stat_statements,minmax_stats_since,timestamp with time zone,YES,null
extensions,pg_stat_statements_info,dealloc,bigint,YES,null
extensions,pg_stat_statements_info,stats_reset,timestamp with time zone,YES,null
public,abandoned_carts,id,integer,NO,nextval('abandoned_carts_id_seq'::regclass)
public,abandoned_carts,company_id,integer,YES,null
public,abandoned_carts,customer_id,integer,YES,null
public,abandoned_carts,customer_email,character varying,YES,null
public,abandoned_carts,customer_name,character varying,YES,null
public,abandoned_carts,items,jsonb,YES,'[]'::jsonb
public,abandoned_carts,cart_total,numeric,YES,0
public,abandoned_carts,recovery_email_sent,boolean,YES,false
public,abandoned_carts,recovered,boolean,YES,false
public,abandoned_carts,created_at,timestamp without time zone,YES,now()
public,abandoned_carts,updated_at,timestamp without time zone,YES,now()
public,abandoned_carts,created_by,uuid,YES,null
public,abandoned_carts,updated_by,uuid,YES,null
public,brands,id,bigint,NO,null
public,brands,company_id,bigint,YES,null
public,brands,user_id,uuid,YES,null
public,brands,name,text,NO,null
public,brands,description,text,YES,null
public,brands,logo_url,text,YES,null
public,brands,is_active,boolean,YES,true
public,brands,created_at,timestamp with time zone,YES,now()
public,brands,created_by,uuid,YES,null
public,brands,updated_by,uuid,YES,null
public,brands,updated_at,timestamp with time zone,YES,now()
public,brands,is_deleted,boolean,YES,false
public,brands,metadata,jsonb,YES,'{}'::jsonb
public,categories,id,integer,NO,nextval('categories_id_seq'::regclass)
public,categories,name,character varying,NO,null
public,categories,parent,character varying,YES,'—'::character varying
public,categories,products,integer,YES,0
public,categories,status,character varying,YES,'Active'::character varying
public,categories,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
public,categories,company_id,integer,YES,null
public,categories,created_by,uuid,YES,null
public,categories,updated_by,uuid,YES,null
public,categories,updated_at,timestamp with time zone,YES,now()
public,collections,id,bigint,NO,null
public,collections,company_id,bigint,YES,null
public,collections,user_id,uuid,YES,null
public,collections,name,text,NO,null
public,collections,slug,text,YES,null
public,collections,description,text,YES,null
public,collections,image_url,text,YES,null
public,collections,is_active,boolean,YES,true
public,collections,display_order,integer,YES,0
public,collections,created_at,timestamp with time zone,YES,now()
public,companies,id,bigint,NO,null
public,companies,name,text,NO,null
public,companies,subdomain,text,NO,null
public,companies,logo_url,text,YES,null
public,companies,contact_phone,text,YES,null
public,companies,contact_email,text,YES,null
public,companies,address,text,YES,null
public,companies,plan,text,YES,'starter'::text
public,companies,user_id,uuid,YES,null
public,companies,is_active,boolean,YES,true
public,companies,created_at,timestamp with time zone,YES,now()
public,companies,city,text,YES,null
public,companies,state,text,YES,null
public,companies,country,text,YES,null
public,companies,pincode,text,YES,null
public,companies,gst_no,text,YES,null
public,companies,created_by,uuid,YES,null
public,companies,updated_by,uuid,YES,null
public,companies,updated_at,timestamp with time zone,YES,now()
public,company_modules,id,bigint,NO,null
public,company_modules,company_id,bigint,YES,null
public,company_modules,user_id,uuid,YES,null
public,company_modules,module_id,bigint,YES,null
public,company_modules,is_active,boolean,YES,true
public,company_modules,created_by,uuid,YES,null
public,company_modules,updated_by,uuid,YES,null
public,company_modules,updated_at,timestamp with time zone,YES,now()
public,company_users,id,bigint,NO,null
public,company_users,company_id,bigint,YES,null
public,company_users,user_id,uuid,YES,null
public,company_users,role,text,YES,'admin'::text
public,company_users,created_by,uuid,YES,null
public,company_users,updated_by,uuid,YES,null
public,company_users,updated_at,timestamp with time zone,YES,now()
public,coupons,id,integer,NO,nextval('coupons_id_seq'::regclass)
public,coupons,company_id,integer,YES,null
public,coupons,code,character varying,NO,null
public,coupons,description,text,YES,null
public,coupons,type,character varying,NO,null
public,coupons,value,numeric,YES,0
public,coupons,min_order_amount,numeric,YES,0
public,coupons,max_discount,numeric,YES,null
public,coupons,usage_limit,integer,YES,null
public,coupons,per_user_limit,integer,YES,1
public,coupons,used_count,integer,YES,0
public,coupons,valid_from,date,YES,null
public,coupons,valid_until,date,YES,null
public,coupons,applicable_on,character varying,YES,'all'::character varying
public,coupons,is_active,boolean,YES,true
public,coupons,created_at,timestamp without time zone,YES,now()
public,coupons,created_by,uuid,YES,null
public,coupons,updated_by,uuid,YES,null
public,coupons,updated_at,timestamp with time zone,YES,now()
public,coupons,usage_count,integer,YES,0
public,customers,id,integer,NO,nextval('customers_id_seq'::regclass)
public,customers,name,character varying,NO,null
public,customers,email,character varying,YES,null
public,customers,phone,character varying,YES,null
public,customers,address,text,YES,null
public,customers,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
public,customers,company_id,integer,YES,null
public,customers,created_by,uuid,YES,null
public,customers,updated_by,uuid,YES,null
public,customers,updated_at,timestamp with time zone,YES,now()
public,ecom_activities,id,bigint,NO,null
public,ecom_activities,company_id,bigint,YES,null
public,ecom_activities,user_id,uuid,YES,null
public,ecom_activities,action,text,NO,null
public,ecom_activities,details,text,YES,null
public,ecom_activities,created_at,timestamp with time zone,YES,now()
public,ecom_activities,created_by,uuid,YES,null
public,ecom_activities,updated_by,uuid,YES,null
public,ecom_activities,updated_at,timestamp with time zone,YES,now()
public,ecom_addresses,id,uuid,NO,uuid_generate_v4()
public,ecom_addresses,user_id,uuid,YES,null
public,ecom_addresses,company_id,bigint,YES,null
public,ecom_addresses,address_line1,text,NO,null
public,ecom_addresses,city,text,NO,null
public,ecom_addresses,zip_code,text,NO,null
public,ecom_addresses,created_at,timestamp with time zone,YES,now()
public,ecom_banners,id,bigint,NO,null
public,ecom_banners,company_id,bigint,YES,null
public,ecom_banners,user_id,uuid,YES,null
public,ecom_banners,title,text,YES,null
public,ecom_banners,subtitle,text,YES,null
public,ecom_banners,image_url,text,NO,null
public,ecom_banners,position,text,YES,'hero'::text
public,ecom_banners,badge_text,text,YES,null
public,ecom_banners,is_active,boolean,YES,true
public,ecom_banners,display_order,integer,YES,0
public,ecom_banners,created_at,timestamp with time zone,YES,now()
public,ecom_banners,created_by,uuid,YES,null
public,ecom_banners,updated_by,uuid,YES,null
public,ecom_banners,updated_at,timestamp with time zone,YES,now()
public,ecom_banners,link_url,text,YES,null
public,ecom_banners,metadata,jsonb,YES,'{}'::jsonb
public,ecom_banners,is_deleted,boolean,YES,false
public,ecom_banners,button_text,text,YES,null
public,ecom_banners,button_link,text,YES,null
public,ecom_banners,overlay_opacity,integer,YES,40
public,ecom_banners,text_color,text,YES,'white'::text
public,ecom_banners,starts_at,timestamp with time zone,YES,null
public,ecom_banners,ends_at,timestamp with time zone,YES,null
public,ecom_blog,id,bigint,NO,null
public,ecom_blog,company_id,bigint,YES,null
public,ecom_blog,user_id,uuid,YES,null
public,ecom_blog,title,text,NO,null
public,ecom_blog,slug,text,NO,null
public,ecom_blog,content,text,YES,null
public,ecom_blog,excerpt,text,YES,null
public,ecom_blog,image_url,text,YES,null
public,ecom_blog,author_name,text,YES,null
public,ecom_blog,is_published,boolean,YES,true
public,ecom_blog,published_at,timestamp with time zone,YES,now()
public,ecom_blog,created_at,timestamp with time zone,YES,now()
public,ecom_categories,id,bigint,NO,null
public,ecom_categories,company_id,bigint,YES,null
public,ecom_categories,user_id,uuid,YES,null
public,ecom_categories,name,text,NO,null
public,ecom_categories,description,text,YES,null
public,ecom_categories,image_url,text,YES,null
public,ecom_categories,is_active,boolean,YES,true
public,ecom_categories,created_at,timestamp with time zone,YES,now()
public,ecom_categories,created_by,uuid,YES,null
public,ecom_categories,updated_by,uuid,YES,null
public,ecom_categories,updated_at,timestamp with time zone,YES,now()
public,ecom_categories,is_deleted,boolean,YES,false
public,ecom_categories,metadata,jsonb,YES,'{}'::jsonb
public,ecom_customers,id,uuid,NO,null
public,ecom_customers,user_id,uuid,YES,null
public,ecom_customers,company_id,bigint,YES,null
public,ecom_customers,full_name,text,YES,null
public,ecom_customers,email,text,YES,null
public,ecom_customers,phone,text,YES,null
public,ecom_customers,status,text,YES,'active'::text
public,ecom_customers,created_at,timestamp with time zone,YES,now()
public,ecom_customers,last_login,timestamp with time zone,YES,null
public,ecom_gallery_images,id,bigint,NO,null
public,ecom_gallery_images,company_id,bigint,YES,null
public,ecom_gallery_images,user_id,uuid,YES,null
public,ecom_gallery_images,title,text,YES,null
public,ecom_gallery_images,image_url,text,NO,null
public,ecom_gallery_images,alt_text,text,YES,null
public,ecom_gallery_images,tags,ARRAY,YES,null
public,ecom_gallery_images,is_active,boolean,YES,true
public,ecom_gallery_images,display_order,integer,YES,0
public,ecom_gallery_images,created_at,timestamp with time zone,YES,now()
public,ecom_gallery_videos,id,bigint,NO,null
public,ecom_gallery_videos,company_id,bigint,YES,null
public,ecom_gallery_videos,user_id,uuid,YES,null
public,ecom_gallery_videos,title,text,YES,null
public,ecom_gallery_videos,video_url,text,NO,null
public,ecom_gallery_videos,thumbnail_url,text,YES,null
public,ecom_gallery_videos,alt_text,text,YES,null
public,ecom_gallery_videos,is_active,boolean,YES,true
public,ecom_gallery_videos,display_order,integer,YES,0
public,ecom_gallery_videos,created_at,timestamp with time zone,YES,now()
public,ecom_menus,id,bigint,NO,null
public,ecom_menus,company_id,bigint,YES,null
public,ecom_menus,user_id,uuid,YES,null
public,ecom_menus,label,text,NO,null
public,ecom_menus,link_url,text,NO,null
public,ecom_menus,display_order,integer,YES,0
public,ecom_menus,is_active,boolean,YES,true
public,ecom_menus,created_at,timestamp with time zone,YES,now()
public,ecom_menus,created_by,uuid,YES,null
public,ecom_menus,updated_by,uuid,YES,null
public,ecom_menus,updated_at,timestamp with time zone,YES,now()
public,ecom_menus,is_deleted,boolean,YES,false
public,ecom_menus,metadata,jsonb,YES,'{}'::jsonb
public,ecom_order_items,id,bigint,NO,null
public,ecom_order_items,order_id,uuid,YES,null
public,ecom_order_items,company_id,bigint,YES,null
public,ecom_order_items,user_id,uuid,YES,null
public,ecom_order_items,product_id,bigint,YES,null
public,ecom_order_items,variant_id,bigint,YES,null
public,ecom_order_items,product_name,text,NO,null
public,ecom_order_items,variant_label,text,YES,null
public,ecom_order_items,quantity,integer,YES,1
public,ecom_order_items,unit_price,numeric,YES,0
public,ecom_order_items,amount,numeric,YES,0
public,ecom_order_items,created_by,uuid,YES,null
public,ecom_order_items,updated_by,uuid,YES,null
public,ecom_order_items,updated_at,timestamp with time zone,YES,now()
public,ecom_order_items,sku,text,YES,null
public,ecom_order_items,tax_amount,numeric,YES,0
public,ecom_order_items,tax_rate,numeric,YES,0
public,ecom_order_items,metadata,jsonb,YES,'{}'::jsonb
public,ecom_order_timeline,id,bigint,NO,null
public,ecom_order_timeline,order_id,uuid,YES,null
public,ecom_order_timeline,company_id,bigint,YES,null
public,ecom_order_timeline,user_id,uuid,YES,null
public,ecom_order_timeline,status,text,NO,null
public,ecom_order_timeline,note,text,YES,null
public,ecom_order_timeline,created_at,timestamp with time zone,YES,now()
public,ecom_order_timeline,created_by,uuid,YES,null
public,ecom_order_timeline,updated_by,uuid,YES,null
public,ecom_order_timeline,updated_at,timestamp with time zone,YES,now()
public,ecom_orders,id,uuid,NO,gen_random_uuid()
public,ecom_orders,company_id,bigint,YES,null
public,ecom_orders,user_id,uuid,YES,null
public,ecom_orders,order_number,text,NO,null
public,ecom_orders,customer_name,text,YES,null
public,ecom_orders,customer_email,text,YES,null
public,ecom_orders,customer_phone,text,YES,null
public,ecom_orders,shipping_address,jsonb,YES,'{}'::jsonb
public,ecom_orders,subtotal,numeric,YES,0
public,ecom_orders,tax_amount,numeric,YES,0
public,ecom_orders,shipping_amount,numeric,YES,0
public,ecom_orders,discount_amount,numeric,YES,0
public,ecom_orders,grand_total,numeric,YES,0
